ESTU_GENERO,EDAD,ESTU_COMOCAPACITOEXAMENSB11,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_TIENECONSOLAVIDEOJUEGOS,MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,GRUPO
1,21,2,8,5,2,0,85,71,71,14,19.0,153,2
1,20,1,4,0,1,0,47,51,46,54,19.0,145,2
1,28,1,2,2,3,1,57,28,46,20,58.0,141,2
0,22,1,4,5,1,0,47,45,15,47,35.0,138,2
1,22,0,3,3,2,0,19,18,4,8,35.0,115,0
1,21,0,2,4,1,0,66,10,4,13,69.0,129,0
0,20,1,4,5,2,0,53,11,31,43,81.0,144,2
1,22,1,4,1,4,0,71,27,66,60,40.0,152,2
0,27,1,2,2,3,0,50,46,28,12,35.0,136,0
1,24,2,3,4,2,0,3,28,22,29,1.0,97,0
0,27,1,2,2,2,0,47,7,42,8,22.0,127,0
0,36,1,4,5,1,0,67,60,45,60,37.0,153,2
0,20,1,4,4,1,0,52,29,6,35,28.0,130,0
1,20,2,8,3,3,0,84,65,82,94,87.0,182,1
1,21,1,8,8,6,1,92,28,77,98,93.0,181,1
1,34,1,4,4,2,1,21,25,27,63,2.0,126,0
1,26,2,4,4,3,0,11,19,15,31,11.0,117,0
1,22,1,0,3,2,1,1,7,13,59,10.0,111,0
1,22,1,4,5,3,0,57,28,20,92,39.0,149,2
0,21,2,2,5,1,0,20,16,39,32,11.0,125,0
1,23,2,10,3,3,0,71,18,23,88,62.0,151,2
0,21,0,4,7,3,1,48,24,70,32,12.0,137,2
1,20,1,2,8,1,0,42,41,59,50,1.0,120,2
1,23,1,1,2,1,0,51,25,22,44,23.0,136,0
0,39,1,2,0,2,0,8,23,19,22,88.0,132,0
1,21,1,2,4,3,0,97,70,82,100,76.0,204,1
1,22,1,4,4,2,1,1,12,6,12,2.0,99,0
1,26,1,4,1,2,1,39,15,6,28,69.0,129,0
1,22,2,8,8,5,1,71,58,85,92,56.0,170,1
1,22,1,0,5,4,0,31,40,26,28,27.0,134,0
1,19,1,4,7,2,0,93,76,81,74,67.0,176,1
0,19,2,3,3,4,1,95,98,98,95,97.0,205,1
1,31,2,3,2,2,0,28,26,27,58,43.0,137,0
1,24,1,5,8,4,1,88,97,97,91,28.0,184,1
0,21,2,2,5,1,0,76,91,93,55,66.0,174,1
1,22,1,4,8,3,0,96,90,76,83,21.0,175,1
1,20,2,11,11,2,0,76,34,45,35,52.0,147,2
0,22,2,8,5,4,0,12,47,35,85,41.0,144,2
1,25,1,1,1,2,1,36,36,24,33,4.0,127,0
1,23,1,8,3,2,1,81,86,79,85,85.0,181,1
0,23,1,9,4,3,0,27,19,40,61,36.0,138,0
1,37,1,0,1,1,0,96,91,83,57,37.0,173,1
0,32,1,2,2,2,0,8,30,8,3,1.0,89,0
0,22,1,2,2,1,0,9,11,25,35,18.0,121,0
1,25,1,0,5,3,0,24,8,30,14,63.0,128,0
0,27,2,1,2,3,0,45,92,86,64,69.0,169,1
1,23,1,8,5,3,0,90,67,96,95,91.0,190,1
1,32,2,2,1,3,0,24,44,19,5,12.0,121,0
0,29,2,7,5,2,0,75,76,59,75,56.0,164,1
0,25,0,5,3,3,0,15,7,8,16,53.0,117,0
0,26,1,0,0,2,0,30,35,54,34,2.0,129,0
1,55,1,4,0,3,1,54,55,51,27,19.0,143,2
0,22,1,2,8,3,0,64,70,66,38,36.0,153,2
1,22,1,2,2,1,0,97,91,57,63,79.0,178,1
0,27,2,2,4,3,0,74,65,56,67,58.0,160,2
0,39,1,2,1,2,1,13,41,31,37,19.0,131,0
0,20,1,4,4,2,0,51,55,54,26,21.0,144,2
1,34,1,1,2,3,0,32,29,50,9,72.0,139,2
1,21,2,4,4,2,0,12,5,11,27,1.0,91,0
0,28,1,2,2,2,0,3,11,24,8,58.0,118,0
0,20,2,7,7,3,1,90,84,94,77,87.0,185,1
1,38,1,11,2,3,1,7,2,26,15,17.0,112,0
0,30,1,2,2,1,0,22,42,33,6,71.0,136,0
1,33,1,2,2,2,0,8,17,8,13,2.0,105,0
0,36,1,6,6,1,0,11,19,37,7,74.0,130,0
0,21,1,10,10,1,0,30,51,28,35,67.0,143,2
1,24,1,1,0,2,1,24,5,3,13,1.0,86,0
1,26,2,4,4,3,0,49,83,73,45,1.0,130,2
0,37,1,1,2,2,0,17,15,67,9,12.0,124,0
1,32,1,4,3,1,1,25,60,43,14,1.0,125,0
1,35,2,11,1,2,1,84,65,68,75,100.0,198,1
0,21,2,4,5,1,0,43,75,72,73,77.0,165,1
0,21,1,2,5,2,0,78,64,61,68,8.0,153,2
0,23,1,8,5,2,0,61,67,12,48,67.0,148,2
0,20,1,3,4,3,0,56,92,72,77,98.0,179,1
0,55,2,2,2,3,0,20,8,8,1,13.0,104,0
0,21,0,8,8,3,0,29,8,13,48,42.0,127,0
0,19,2,4,5,2,1,92,99,95,96,98.0,204,1
0,36,0,2,4,3,0,24,12,20,6,42.0,121,0
1,21,0,8,5,3,0,90,96,78,87,91.0,189,1
0,45,1,1,2,2,0,17,20,50,37,82.0,142,2
1,20,1,4,8,3,0,29,46,12,70,3.0,129,0
0,25,1,9,5,3,0,62,90,99,54,96.0,182,1
